,Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,New Norfolk,AU,-42.78,147.06,50.7,65,94,3.0
1,Awjilah,LY,29.11,21.29,73.49,66,2,10.94
2,Bredasdorp,ZA,-34.53,20.04,46.4,87,0,1.12
3,Avera,US,33.19,-82.53,70.23,43,1,6.93
4,Kholbon,RU,51.88,116.25,36.84,87,0,3.71
5,Raudeberg,NO,61.99,5.14,54.0,96,100,31.36
6,Sisimiut,GL,66.94,-53.67,32.31,97,100,6.42
7,George Town,MY,5.41,100.34,75.09,88,40,8.05
8,Koslan,RU,63.46,48.9,37.22,96,97,6.8
9,Mut,TR,36.64,33.44,69.12,56,1,4.45
10,Nabire,ID,-3.37,135.48,75.83,89,100,3.8
11,Bairiki Village,KI,1.33,172.98,86.0,70,40,10.29
12,Kurayoshi,JP,35.43,133.82,59.85,93,75,8.05
13,Guerrero Negro,MX,27.98,-114.06,85.82,41,0,12.8
14,Lüderitz,NA,-26.65,15.16,69.06,26,0,15.21
15,Nazas,MX,25.23,-104.13,82.85,25,4,8.48
16,Nagua,DO,19.38,-69.85,87.8,70,20,11.41
17,Pekan,MY,3.48,103.4,77.0,94,20,4.65
18,Yellowknife,CA,62.46,-114.35,51.57,76,75,10.29
19,Nikolskoye,RU,59.7,30.79,55.47,82,20,11.18
20,Hasaki,JP,35.73,140.83,63.45,93,20,8.05
21,Busselton,AU,-33.65,115.33,49.35,98,18,4.09
22,Ushuaia,AR,-54.8,-68.3,50.0,53,100,3.36
23,Cherskiy,RU,68.75,161.3,36.09,78,0,10.94
24,Puerto Ayora,EC,-0.74,-90.35,67.39,83,79,10.65
25,Hobart,AU,-42.88,147.33,53.51,62,20,6.93
26,Qaanaaq,GL,77.48,-69.36,14.54,82,2,5.3
27,Rikitea,PF,-23.12,-134.97,72.75,74,88,21.54
28,Vaini,TO,-21.2,-175.2,73.4,78,75,10.29
29,Kapitanivka,UA,48.92,31.72,52.18,47,0,4.94
30,Mataura,NZ,-46.19,168.86,57.99,60,100,14.0
31,Cidreira,BR,-30.18,-50.21,54.19,71,0,10.74
32,Bow Island,CA,49.87,-111.37,72.75,31,40,13.87
33,Dhārchula,IN,29.85,80.53,65.52,67,0,2.66
34,Saint George,US,37.1,-113.58,95.05,15,1,10.8
35,Avarua,CK,-21.21,-159.78,77.0,83,83,10.29
36,Constitución,CL,-35.33,-72.42,57.42,76,99,14.0
37,Abu Dhabi,AE,24.47,54.37,87.03,79,0,4.7
38,Bethel,US,41.37,-73.41,60.28,27,1,6.93
39,East London,ZA,-33.02,27.91,58.23,70,5,10.76
40,Punta Arenas,CL,-53.15,-70.92,46.2,75,90,4.7
41,Bluff,NZ,-46.6,168.33,57.99,60,80,14.0
42,Kaeo,NZ,-35.1,173.78,60.01,84,43,4.0
43,Albany,US,42.6,-73.97,59.59,33,0,1.68
44,Otaru,JP,43.19,141.0,55.63,100,75,5.82
45,Bay Roberts,CA,47.6,-53.26,51.08,67,90,6.73
46,Caraquet,CA,47.79,-64.94,56.64,43,1,4.7
47,Tacoaleche,MX,22.82,-102.42,71.6,53,75,9.17
48,Iberia,US,29.95,-91.75,74.23,88,90,23.04
49,Changji,CN,44.02,87.32,59.0,47,0,6.71
50,Saskylakh,RU,71.92,114.08,42.87,78,100,11.1
51,Kapaa,US,22.08,-159.32,83.59,66,1,12.75
52,Sørland,NO,67.67,12.69,46.63,70,100,39.28
53,Tasiilaq,GL,65.61,-37.64,30.2,92,100,2.24
54,Meïganga,CM,6.52,14.3,65.89,96,100,3.33
55,Mto wa Mbu,TZ,-3.35,35.85,68.2,69,40,5.44
56,Kosonsoy,UZ,41.26,71.55,62.6,48,49,6.93
